CTRY,MCA,UNLocode,Country/Port Name,Label using special characters,Nat. Stat. Group,Statistical Port,National Code,2024 list: modifications compared to 2023 list,TEN-T network,Port on an island (X: Island; O: Outer region),Sea ,Sea code,NUTS 3 code,2023 list: modifications compared to 2022 list,2022 list: modifications compared to 2021 list,2021 list: modifications compared to 2020 list,2020 list: modifications compared to 2019 list,2019 list: modifications compared to 2018 list,2018 list: modifications compared to 2017 list,2017 list: modifications compared to 2016 list,2016 list: modifications compared to 2015 list,2015 list: modifications compared to 2014 list,2014 list: modifications compared to 2013 list,2013 list: modifications compared to 2012 list,2012 list: modifications compared to 2011 list,2011 list: modifications compared to 2010 list,2010 list: modifications compared to 2009 list,2009 list: modifications compared to 2008 list,2008 list: modifications compared to 2007 list,2007 list: modifications compared to 2006 list,2006 list: modifications compared to 2005 list,2005 list: modifications compared to 2004 Excel list,2004 Excel list: modifications compared to 2004 official list,2004 official list: modifications compared to 2000 official list,2000 official list: modifications compared to 1998 official list,previous changes (partial coverage) and other comments,Coordinates from 2009 list or provided by country,Coordinates UNECE,Coordinates Antwerpen (March 2009),Coordinates GISCO     Longitude    (SIF January 2009),Coordinates GISCO     Latitude    (SIF January 2009),Label in Comm Dec 2008/861,Label in UNECE
NO,NO00,NOMOL,Molde,,,X,,,,,North Sea,4,NO0A3,,,,,,,,,,,,,,,,,,,,2004: Re-introduced,,2000: Deleted ,,6244.22N 00709.91E,,6244N 00710E,7.148741245,62.73505983,,Molde
NO,NO00,NOMON,Mongstad,,NOBGO,,,,,,North Sea,4,NO0A2,,,,,,,,,,,,,2011: New entry as non-statistical port,,,,,,,,,,,6048.9N 00502.0E,,,,,,
NO,NO00,NOMOS,Mosterhamn,,NOHAU,,,,,,North Sea,4,NO0A2,,,,,2019: New entry as non-statistical port,,,,,,,,,,,,,,,,,,,,,,5.38964,59.70066,,
NO,NO00,NOMOV,Molstrevag,Mølstrevåg,NOHAU,,,,,,North Sea,4,NO0A2,,,,,2019: New entry as non-statistical port - Ex NOSVO - Sveio,,,,,,,,,,,,,,,,,,,,,,5.25869,59.5222,,
NO,NO00,NOMQN,Mo i Rana,,,X,,,,,North Sea,4,NO071,,,,,2019: Become statistical port (previsouly NORNA),,,,,,,,2011: New entry as non-statistical port - Previously re-grouped with Rana under code NORNA,,,,,,,,,,,6618.99N 01407.43E,,,14.13329969,66.31670365,,Rana
NO,NO00,NOMRV,Muruvika,,NOTRD,,,,,,North Sea,4,NO060,,,,,2019: Change of port name (previously Muruvik),,,,2015: New entry as non-statistical port,,,,,,,,,,,,,,,6326N 01050E,6326N 01050E,,,,,
NO,NO00,NOMSD,Mjolstadneset,Mjølstadneset,NO88S,,,,,,North Sea,4,NO0A3,,,,,2019: Change of statistical port (previously NO88A),,2017: Moved from list 1bis,,2015: New entry - Currently not surveyed - Minor port,,,,,,,,,,,,,,,6219N 00540E,,,,,,
NO,NO00,NOMSK,Moskenes,,NO88N,,,,,,North Sea,4,NO071,,,,,2019: Change of statistical port (previously NO88A),,2017: Becomes a non-statistical port,,,,,,,,,,,,,2004: New entry,,,,6753N 01302E,,,,,,Moskenes
NO,NO00,NOMSS,Moss,,,X,,,,,North Sea,4,NO082,,,,,,,,,,,,,,,,,,,,2004: Re-introduced,,2000: Deleted ,,5926N 01039E,,5926N 01040E,10.66115379,59.4353714,,Moss
NO,NO00,NOMVV,Mjolkevikvarden,Mjølkevikvarden,NOBGO,,,,,,North Sea,4,NO0A2,,,,,2019: New entry as non-statistical port,,,,,,,,,,,,,,,,,,,,,,4.98784,60.55163,,
