From EU Taxonomy compass,NACE,NACE sector,TAC NACE 2021,TAC rationale,"TAC is country dependent (0 = no, 1 = yes)",TEC NACE 2021,TEC rationale,"TEC is country dependent (0 = no, 1 = yes)"
1.0,F.41 ,Construction of buildings,0.4,"The TAC for NACE F41  is conservatively set equal to the lower between the TAC Activity for construction of new buildings and the TAC Activity for renovation of existing buildings. 
To estimate the TAC Activity for renovation, we define the following two measures: Old Net Primary Energy Demand (oldNPED) and New Net Primary Energy Demand (newNPED), which refer to the NPED of the building abefore and after renovation, respectively.  It follows that the improvement of NPED called imprNPED = - (newNPED - oldNPED)/oldNPED. We assume that imprNPED is uniformly distributed between 0% and 50%. An activity is Taxonomy aligned if the imprNPED of the renovated building is at least 30%. It follows that TAC Activity = (0.5 - 0.3)/0.5 =  40%. 
",0.0,0,"The SH threshold in the Climate DA Annex 2 is the NZEB requirement, which is mandatory for new buildings.",0
1.0,F.41.1,Development of building projects,0.4,"The TAC for NACE F41 is conservatively set equal to the lower between the TAC Activity for construction of new buildings and the TAC Activity for renovation of existing buildings. 
The TAC Activity for new buildings is estimated as follows. An activity is Taxonomy aligned if the NPED of the new construction is at least 10% lower than the NZEB. We assume that the metric used, i.e. net Primary Energy Demand (NPED), which measures energy efficiency of new buildings,  is uniformly distributed between 50% and 100% of the Near Zero-Energy Buildings (NZEB) requirements (expressed in kWh/m2). Under this assumption it follows that TAC = (0.9 - 0.5)/0.5 =  80%.",0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,F.41.2,Construction of residential and non-residential buildings,0.4,"The TAC for NACE F41 is conservatively set equal to the lower between the TAC Activity for construction of new buildings and the TAC Activity for renovation of existing buildings. 
The TAC Activity for new buildings is estimated as follows. An activity is Taxonomy aligned if the NPED of the new construction is at least 10% lower than the NZEB. We assume that the metric used, i.e. net Primary Energy Demand (NPED), which measures energy efficiency of new buildings,  is uniformly distributed between 50% and 100% of the Near Zero-Energy Buildings (NZEB) requirements (expressed in kWh/m2). Under this assumption it follows that TAC = (0.9 - 0.5)/0.5 =  80%.",0.0,0,"The SH threshold in the Climate DA Annex 2 is the NZEB requirement, which is mandatory for new buildings.",0
1.0,F.41.2 ,Construction of residential and non-residential buildings,0.4,"The TAC for NACE F41 is conservatively set equal to the lower between the TAC Activity for construction of new buildings and the TAC Activity for renovation of existing buildings. 
The TAC Activity for new buildings is estimated as follows. An activity is Taxonomy aligned if the NPED of the new construction is at least 10% lower than the NZEB. We assume that the metric used, i.e. net Primary Energy Demand (NPED), which measures energy efficiency of new buildings,  is uniformly distributed between 50% and 100% of the Near Zero-Energy Buildings (NZEB) requirements (expressed in kWh/m2). Under this assumption it follows that TAC = (0.9 - 0.5)/0.5 =  80%.",0.0,0,"The SH threshold in the Climate DA Annex 2 is the NZEB requirement, which is mandatory for new buildings.",0
1.0,F.42 ,Civil engineering,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,F.42.11 ,Construction of roads and motorways,0.0,The share of Taxonomy-aligned activities within this NACE code is very small at this stage. ,0.0,1,This NACE sector inherits the TEC of NACE sector H.49.31.,0
1.0,F.42.12,Construction of railways and underground railways,0.562429861685148,"Share of Electrified railway lines over total (2019 data, source Eurostat: https://ec.europa.eu/eurostat/databrowser/view/RAIL_IF_LINE_NA__custom_1160037/default/table?lang=en). This is a conservative TAC, as new railways will arguably be electrified or bimodal.",1.0,0.43757013831485203,Complement to 1 of TAC.,0
1.0,F.42.13 ,Construction of bridges and tunnels,0.036485788706938325,"Length of electrified railways over total length of tracks and roads (2019 data, source Eurostat: https://ec.europa.eu/eurostat/web/transport/data/database?p_p_id=NavTreeportletprod_WAR_NavTreeportletprod_INSTANCE_yjUOJMEUlFPI&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view). This is a conservative TAC, as new railways will arguably be electrified or bimodal.",1.0,0.9635142112930617,Complement to 1 of TAC.,0
1.0,F.42.21,Construction of utility projects for fluids,0.0,The share of low-carbon gases is currently negligible.,0.0,0,This NACE sector does not belong to the list of sectors defined as highly exposed to transition risk.,0
1.0,F.42.22,Construction of utility projects for electricity and telecommunications,0.25563763826841995,The share of gross fixed capital formation (GFCF) in the electricity sector is 0.74 of the total GFCF in the elctricity and communication sectors taken together. The TAC for NACE F42.22 is obtained by multiplying this share by the share of renewables in electricity production (TAC for NACE D35.11).,1.0,0.29,The share of gross fixed capital formation (GFCF) in the electricity sector is 0.74 of the total GFCF in the elctricity and communication sectors taken together. The TEC for NACE F42.22 is obtained by multiplying this share by the share of electricity production based on fossil fuels (TEC for NACE D35.11),0
