Indicator 3: Internal and external organisations supplying/approached to supply data and data products since start of the project phase,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
JRC,Government/Public administration,n.a.,All,n.a.,Approached,Data,Fishing effort,not restricted,Open data,Digital file,,
Eurostat,Government/Public administration,n.a.,All,n.a.,Approached,Data,Main ports,not restricted,Open data,Digital file,,
"Federal Public Service (FPS) Health, Food Chain Safety and Environment, BE",Government/Public administration,Belgium,North Sea,n.a.,Approached,Data,MSP,not restricted,Open data,Digital file,,
"Finland Ministry of The Environment and Regionals councils (Uusimaa, Kymenlaakso, Southwest Finland, Satakunta, Ostrobothnia, Central Ostrobothnia, North Ostrobothnia and Lapland), FI",Government/Public administration,FInland,Baltic Sea,n.a.,Approached,Data,MSP,not restricted,Open data,Digital file,,
"BSH - Federal Maritime and Hydrographic Agency, DE",Government/Public administration,Germany,Baltic Sea / North Sea,n.a.,Approached,Data,Military areas,not restricted,Open data,Digital file,,
"Danish Maritime Authority, DK",Government/Public administration,Denmark,Baltic Sea / North Sea,n.a.,Approached,Data,Military areas,not restricted,Open data,Digital file,,
"DGRM - Direção-Geral de Recursos Naturais, Segurança e Serviços Marítimos, PT",Government/Public administration,Portugal,Atlantic Ocean,n.a.,Approached,Data,Military areas,not restricted,Open data,Digital file,,
"Federal Public Service (FPS) Health, Food Chain Safety and Environment, BE",Government/Public administration,Belgium,North Sea,n.a.,Approached,Data,Military areas,not restricted,Open data,Digital file,,
"HELCOM - Baltic Marine Environment Protection Commission - Helsinki Commission, LT",Others,n.a.,Baltic Sea,n.a.,Approached,Data,Military areas,not restricted,Open data,Digital file,,
"HNHS - Hellenic Navy Hydrographic Service, EL",Government/Public administration,Greece,Mediterranean Sea,n.a.,Approached,Data,Military areas,not restricted,Open data,Digital file,,
"IHM - Instituto Hidrográfico de la Marina, ES",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Military areas,not restricted,Open data,Digital file,,
"Maritime Office Gdynia, PL",Government/Public administration,Poland ,Baltic Sea,n.a.,Approached,Data,Military areas,not restricted,Open data,Digital file,,
"Ministry of Defence (Defence Investments Department), EE",Government/Public administration,Estonia,Baltic Sea,n.a.,Approached,Data,Military areas,not restricted,Open data,Digital file,,
"Ministry of Defence (Hydrographic Service – Royal Navy), NL",Government/Public administration,Netherlands,North Sea,n.a.,Approached,Data,Military areas,not restricted,Open data,Digital file,,
"Ministry of The Environment and Regionals councils (Uusimaa, Kymenlaakso, Southwest Finland, Satakunta, Ostrobothnia, Central Ostrobothnia, North Ostrobothnia and Lapland), FI",Government/Public administration,Finland,Baltic Sea,n.a.,Approached,Data,Military areas,not restricted,Open data,Digital file,,
Global Energy Observatory,Others,n.a.,All,n.a.,Approached,Data,Nuclear power plants,not restricted,Open data,Digital file,,
"International Atomic Energy Agency, Power Reactor Information System",Others,n.a.,All,n.a.,Approached,Data,Nuclear power plants,not restricted,Open data,Digital file,,
Open Power System Data,Others,n.a.,All,n.a.,Approached,Data,Nuclear power plants,not restricted,Open data,Digital file,,
World Energy Council,Others,n.a.,All,n.a.,Approached,Data,Nuclear power plants,not restricted,Open data,Digital file,,
World Nuclear Association,Others,n.a.,All,n.a.,Approached,Data,Nuclear power plants,not restricted,Open data,Digital file,,
"Marine and Hydrokinetic Technology Database, EU",Others,n.a.,All,n.a.,Approached,Data,Ocean energy,not restricted,Open data,Digital file,,
"EMEC Orkney, UK",Business,UK,Atlantic Ocean / North Sea,n.a.,Approached,Data,Ocean energy,not restricted,Open data,Digital file,,
"Falmouth Bay Test Site, UK",Others,UK,Atlantic Ocean / North Sea,n.a.,Approached,Data,Ocean energy,not restricted,Open data,Digital file,,
IEA-OES GIS Map of Ocean Energy Installations,Others,n.a.,All,n.a.,Approached,Data,Ocean energy,not restricted,Open data,Digital file,,
"JRC Ocean Energy Status Report 2016 Edition, EU",Government/Public administration,n.a.,All,n.a.,Approached,Data,Ocean energy,not restricted,Open data,Digital file,,
"MARENDATA, EU",Others,n.a.,All,n.a.,Approached,Data,Ocean energy,not restricted,Open data,Digital file,,
"Marine Scotland, UK",Government/Public administration,UK,Atlantic Ocean / North Sea,n.a.,Approached,Data,Ocean energy,not restricted,Open data,Digital file,,
SOWFIA Project Database,Others,n.a.,All,n.a.,Approached,Data,Ocean energy,not restricted,Open data,Digital file,,
TETHYS Database/Map viewer,Business,n.a.,All,n.a.,Approached,Data,Ocean energy,not restricted,Open data,Digital file,,
"The Crown Estate, UK",Government/Public administration,UK,Atlantic Ocean / North Sea,n.a.,Approached,Data,Ocean energy,not restricted,Open data,Digital file,,
UK Marine Energy Database (UKMED),Others,UK,Atlantic Ocean / North Sea,n.a.,Approached,Data,Ocean energy,not restricted,Open data,Digital file,,
"Croatian Hydrocarbon Agency, HR",Government/Public administration,Croatia,Mediterranean Sea,n.a.,Approached,Data,Oil and gas,not restricted,Open data,Digital file,,
"Danish Energy Agency, DK",Government/Public administration,Denmark,Baltic Sea / North Sea,n.a.,Approached,Data,Oil and gas,not restricted,Open data,Digital file,,
"Department of Communications, Climate Action and the Environment, IE",Government/Public administration,Ireland,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Oil and gas,not restricted,Open data,Digital file,,
"Landesamt für Bergbau, Energie und Geologie - Geozentrum Hannover, DE",Government/Public administration,Germany,Baltic Sea / North Sea,n.a.,Approached,Data,Oil and gas,not restricted,Open data,Digital file,,
"Ministère de la transition écologique - Direction générale de l’énergie et du climat (DGEC), FR",Government/Public administration,France,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Oil and gas,not restricted,Open data,Digital file,,
"Ministero dello Sviluppo Economico - Direzione generale per le infrastrutture e la sicurezza dei sistemi energetici e geominerari (DGISSEG), UNMIG - Ufficio nazionale minerario per gli idrocarburi e le georisorse, IT",Government/Public administration,Italy,Mediterranean Sea,n.a.,Approached,Data,Oil and gas,not restricted,Open data,Digital file,,
"Ministriy for Transport and Infrastructures - Continental Shelf Departement, MT",Government/Public administration,Malta,Mediterranean Sea,n.a.,Approached,Data,Oil and gas,not restricted,Open data,Digital file,,
"Ministry for the Ecological Transition and the Demographic challenge, ES",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Oil and gas,not restricted,Open data,Digital file,,
"Ministry of Energy, Commerce and Industry – Hydrocarbons Service, CY",Government/Public administration,Cyprus,Mediterranean Sea,n.a.,Approached,Data,Oil and gas,not restricted,Open data,Digital file,,
"Norwegian Petroleum Directorate, NO",Government/Public administration,Norway,North Sea,n.a.,Approached,Data,Oil and gas,not restricted,Open data,Digital file,,
"Oil and Gas Authority, UK",Government/Public administration,UK,Atlantic Ocean / North Sea,n.a.,Approached,Data,Oil and gas,not restricted,Open data,Digital file,,
"Polish Geological Institute - National Research Institute, PL",Government/Public administration,Poland,Baltic Sea,n.a.,Approached,Data,Oil and gas,not restricted,Open data,Digital file,,
TNO – Geological Survey of the Netherlands,Government/Public administration,Netherlands,North Sea,n.a.,Approached,Data,Oil and gas,not restricted,Open data,Digital file,,
"Bureau de Recherches Géologiques et Minières, FR",Government/Public administration,France,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Oil and gas,not restricted,Open data,Digital file,,
"Geological and Mining Institute of Spain (IGME), ES",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Oil and gas,not restricted,Open data,Digital file,,
"Geological Survey of Montenegro, ME",Government/Public administration,Montenegro,Mediterranean Sea,n.a.,Approached,Data,Oil and gas,not restricted,Open data,Digital file,,
"Jarðfeingi - Faroese Geological Survey, FO",Government/Public administration,Faroe Islands,North Sea,n.a.,Approached,Data,Oil and gas,not restricted,Open data,Digital file,,
"Latvian environment geology and meteorology centre, LV",Government/Public administration,Latvia,Baltic Sea,n.a.,Approached,Data,Oil and gas,not restricted,Open data,Digital file,,
"Croatian Hydrocarbon Agency, HR",Government/Public administration,Croatia,Mediterranean Sea,n.a.,Approached,Data,Pipelines,not restricted,Open data,Digital file,,
"Department of Communications, Climate Action and Environment, Petroleum Affairs Division, IE",Government/Public administration,Ireland,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Pipelines,not restricted,Open data,Digital file,,
"HELCOM HOLAS II Dataset: Pipelines (2017), DK, EE, FI, DE, PO, RU",Others,n.a.,Baltic Sea,n.a.,Approached,Data,Pipelines,not restricted,Open data,Digital file,,
"Instituto de Estadística y Cartografía de Andalucía, ES",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Pipelines,not restricted,Open data,Digital file,,
"Oil & Gas Authority, UK",Government/Public administration,UK,Atlantic Ocean / North Sea,n.a.,Approached,Data,Pipelines,not restricted,Open data,Digital file,,
"Oljedirektoratet, NO",Government/Public administration,Norway,North Sea,n.a.,Approached,Data,Pipelines,not restricted,Open data,Digital file,,
"TNO, Geological Survey of the Netherlands, NL",Government/Public administration,Netherlands,North Sea,n.a.,Approached,Data,Pipelines,not restricted,Open data,Digital file,,
"ABNL Naval Mine Warfare Mission Support Centre Royal Netherlands Navy Command / Directorate of Operations / Maritime Warfare Centre / Naval Mine Warfare / Mission Support Centre Ministry of Defence, NL",Government/Public administration,Netherlands,North Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
HELCOM,Others,n.a.,Baltic Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"HYDROGRAPHIC SERVICE-Maritime Administration of Latvia, LV",Government/Public administration,Latvia,Baltic Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Independent Public Relations and Publishing Department. Ministry of Defence of the Republic of Croatia, HR",Government/Public administration,Croatia,Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
Middlebury Institute of International Studies at Monterey,Academia/Research,UK,Atlantic Ocean / North Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Ministry of Defence. Republic of Cyprus, CY",Government/Public administration,Cyprus,Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Ministry of Defence. Spain, ES",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
OSPAR Commission (ODIM OSPAR data and information Management System),Others,n.a.,Atlantic Ocean / North Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Servizio emergenze ambientali in mare (SEAM), IT",Government/Public administration,Italy,Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"SHOM, FR",Government/Public administration,France,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
EEA,Government/Public administration,n.a.,All,n.a.,Approached,Data,Urban wastewater treatment,not restricted,Open data,Digital file,,
"Autoridad Portuaria Almeria, ES",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Autoridad Portuaria Avilés, ES",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Autoridad Portuaria de Bilbao, ES",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Autoridad Portuaria de Huelva, ES",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Autoridad Portuaria de la Bahia de Algeciras, ES",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Autoridad Portuaria de Marín, ES",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Autoridad Portuaria de Vigo, ES",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Autoridad Portuaria Vilagarcia, ES",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Autoridade Portuaria de A Coruña, ES",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Autoritat Portuària Tarragona, ES",Government/Public administration,Spain,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Nantes Port, FR",Government/Public administration,France,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Port Authorities Constance, RO",Government/Public administration,Romania,Black Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Port Authorities Galati, RO",Government/Public administration,Romania,Black Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Port Authorities Skellftea, SE",Government/Public administration,Sweden,Baltic Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Port Authority Alexandroupolis, EL",Government/Public administration,Greece,Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Port Authority Dubrovnik, HR",Government/Public administration,Croatia,Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Port Authority Esbjerg, DK",Government/Public administration,Denmark,Baltic Sea / North Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
"Port Authority Le Havre, FR",Government/Public administration,France,Atlantic Ocean / Mediterranean Sea,n.a.,Approached,Data,Waste disposal,not restricted,Open data,Digital file,,
