run_id,run_path,timestamp_utc,manifest_timestamp_utc,dataset,record_index,dedupe_value,dedupe_field_used,doi,source_id,title,record_origin,axis_name
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,797,10.1002/cssc.202401170,doi,10.1002/cssc.202401170,crossref:10.1002/cssc.202401170,From Critical Raw Materials to Circular Raw Materials,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,1104,10.1002/eet.1743,doi,10.1002/eet.1743,crossref:10.1002/eet.1743,"Contemporary Challenges in Environmental Governance: Technology, governance and the social licence",LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,638,10.1002/eet.1743,doi,10.1002/eet.1743,crossref:10.1002/eet.1743,"Contemporary Challenges in Environmental Governance: Technology, governance and the social licence",,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,638,10.1002/eet.1743,doi,10.1002/eet.1743,crossref:10.1002/eet.1743,"Contemporary Challenges in Environmental Governance: Technology, governance and the social licence",,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,994,10.1002/essoar.10502705.2,doi,10.1002/essoar.10502705.2,crossref:10.1002/essoar.10502705.2,The political complexity of coastal flood risk reduction: lessons for climate adaptation public works in the U.S.,LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,528,10.1002/essoar.10502705.2,doi,10.1002/essoar.10502705.2,crossref:10.1002/essoar.10502705.2,The political complexity of coastal flood risk reduction: lessons for climate adaptation public works in the U.S.,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,528,10.1002/essoar.10502705.2,doi,10.1002/essoar.10502705.2,crossref:10.1002/essoar.10502705.2,The political complexity of coastal flood risk reduction: lessons for climate adaptation public works in the U.S.,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,1855,10.1002/gdj3.120,doi,10.1002/gdj3.120,crossref:10.1002/gdj3.120,Geoscience data publication: Practices and perspectives on enabling the FAIR guiding principles,LIVE_API,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records,1389,10.1002/gdj3.120,doi,10.1002/gdj3.120,crossref:10.1002/gdj3.120,Geoscience data publication: Practices and perspectives on enabling the FAIR guiding principles,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,live_records_triangulated,1389,10.1002/gdj3.120,doi,10.1002/gdj3.120,crossref:10.1002/gdj3.120,Geoscience data publication: Practices and perspectives on enabling the FAIR guiding principles,,
28625632237-1,runs/28625632237-1,2026-07-02T22:32:01+00:00,2026-07-02T22:32:01+00:00,cumulative_qmbd_records,188,10.1002/sd.70183,source_id,,10.1002/sd.70183,Social impact assessment for blue economy projects: Toward Sustainable Development in the Ocean: A Framework for Blue Econ,STATIC_LITERATURE,OCEANIC
